,stock_id,start_date,end_date
431,300177,2014-07-31,2015-01-19
432,300180,2015-05-29,2015-11-30
433,300181,2014-09-23,2015-05-20
434,300187,2014-08-21,2015-06-24
435,300197,2014-07-14,2015-04-01
436,300198,2014-12-23,2015-12-04
437,300210,2014-07-16,2015-04-27
438,300212,2014-10-22,2015-06-24
439,300217,2014-08-26,2015-06-18
440,300228,2014-06-20,2015-03-17
441,300236,2014-09-05,2015-12-16
442,300237,2015-01-13,2015-10-14
443,300239,2014-08-11,2015-07-03
444,300244,2015-01-09,2015-10-28
445,300251,2014-06-25,2015-01-08
446,300253,2014-12-10,2015-09-24
447,300254,2014-09-25,2015-06-04
448,300261,2014-10-09,2015-07-06
449,300263,2014-09-03,2015-04-02
450,300267,2014-12-03,2015-07-08
451,300273,2014-08-22,2015-04-01
452,300284,2014-09-15,2015-03-25
453,300285,2015-06-08,2015-12-23
454,300290,2014-09-30,2015-05-08
455,300301,2015-05-26,2015-12-25
456,300303,2014-10-27,2015-04-30
457,300304,2015-07-15,2015-12-31
458,300325,2015-01-30,2015-10-21
459,300329,2015-03-27,2015-11-04
460,300334,2014-11-12,2015-09-28
461,300335,2015-01-21,2015-09-24
462,300345,2014-11-07,2015-09-28
463,300347,2015-01-22,2015-08-26
464,300355,2014-07-28,2015-08-14
465,300362,2015-05-04,2015-11-11
466,300375,2014-09-22,2015-04-29
467,300388,2015-03-19,2015-12-04
468,300409,2015-06-11,2015-11-19
469,300433,2015-06-02,2015-11-11
470,600000,2014-04-30,2014-11-04
471,600008,2013-08-21,2014-12-08
472,600010,2013-12-31,2015-03-30
473,600015,2015-04-17,2015-12-31
474,600018,2014-11-18,2015-04-07
475,600020,2014-09-24,2015-04-27
476,600027,2013-10-17,2014-05-26
477,600027,2014-12-30,2015-07-03
478,600037,2015-03-09,2015-10-15
479,600039,2012-12-04,2013-07-15
480,600048,2015-03-17,2015-12-17
481,600055,2012-12-31,2015-12-07
482,600057,2014-01-16,2014-09-22
483,600057,2015-03-27,2015-10-19
484,600068,2013-08-23,2014-01-13
485,600069,2014-08-26,2015-04-13
486,600073,2014-01-24,2014-10-20
487,600077,2013-08-07,2014-08-26
488,600079,2012-06-15,2013-07-11
489,600079,2014-03-26,2015-01-19
490,600084,2014-01-30,2014-09-25
491,600086,2013-04-08,2014-12-29
492,600091,2015-01-15,2015-11-02
493,600093,2014-09-25,2015-03-09
494,600096,2012-06-06,2015-12-03
495,600100,2014-06-17,2014-12-15
496,600109,2012-03-20,2012-09-27
497,600109,2014-09-30,2015-04-13
498,600114,2013-05-28,2014-01-20
499,600116,2013-02-04,2014-10-20
500,600127,2013-03-05,2013-10-14
501,600138,2013-10-16,2014-03-18
502,600141,2012-03-23,2012-09-25
503,600155,2013-09-26,2014-09-16
504,600157,2014-06-10,2014-12-15
505,600166,2014-06-11,2015-01-22
506,600170,2014-03-05,2014-08-08
507,600172,2012-11-09,2014-11-24
508,600175,2013-07-12,2014-06-09
509,600175,2014-12-18,2015-11-16
510,600180,2013-07-26,2015-05-14
511,600184,2014-12-18,2015-11-12
512,600187,2012-06-26,2013-03-21
513,600192,2012-02-16,2012-12-25
514,600195,2012-05-22,2013-06-18
515,600198,2012-04-12,2012-09-13
516,600200,2014-11-28,2015-08-17
517,600203,2013-07-15,2014-02-20
518,600203,2015-03-11,2015-12-03
519,600206,2012-08-14,2013-02-28
520,600207,2012-02-14,2012-12-20
521,600208,2013-08-02,2014-07-31
522,600208,2014-12-19,2015-05-21
523,600210,2014-07-03,2014-11-24
524,600218,2013-11-12,2014-12-08
525,600222,2012-04-05,2013-02-04
526,600225,2013-08-29,2014-09-23
527,600231,2013-03-27,2015-09-17
528,600235,2012-01-18,2012-11-15
529,600237,2012-03-12,2012-09-04
530,600243,2014-07-02,2015-07-02
531,600249,2014-02-28,2014-12-30
532,600251,2013-05-30,2013-12-24
533,600252,2013-10-23,2014-09-18
534,600255,2012-06-21,2013-02-07
535,600255,2014-05-28,2015-02-16
536,600256,2014-04-25,2014-10-23
537,600259,2013-08-30,2014-08-14
538,600266,2013-08-09,2014-03-25
539,600267,2013-12-02,2014-07-03
540,600279,2014-01-17,2014-09-15
541,600282,2014-12-26,2015-08-24
542,600283,2013-05-29,2014-06-12
543,600284,2012-01-17,2012-12-06
544,600285,2012-02-29,2012-09-11
545,600285,2015-04-24,2015-12-10
546,600288,2015-01-16,2015-10-30
547,600290,2014-12-08,2015-09-14
548,600292,2013-07-01,2014-05-22
549,600300,2014-11-26,2015-08-31
550,600303,2012-02-23,2013-07-23
551,600305,2013-05-21,2014-03-13
552,600307,2012-03-01,2012-05-21
553,600312,2012-11-12,2013-09-30
554,600321,2013-01-10,2014-09-01
555,600325,2015-01-22,2015-10-15
556,600328,2015-02-10,2015-10-26
557,600329,2014-06-27,2015-03-30
558,600330,2012-09-12,2013-09-18
559,600330,2014-06-30,2014-12-08
560,600331,2013-08-26,2014-02-25
561,600340,2013-09-02,2015-11-12
562,600346,2013-01-23,2013-08-15
563,600351,2015-03-23,2015-10-26
564,600352,2014-03-27,2015-01-12
565,600354,2014-09-26,2015-06-18
566,600358,2014-05-22,2015-11-05
567,600359,2013-09-03,2014-09-16
568,600365,2012-01-20,2013-03-18
569,600369,2013-03-26,2013-11-14
570,600375,2012-02-22,2012-12-24
571,600376,2013-11-04,2015-12-03
572,600390,2012-02-17,2012-08-09
573,600390,2014-06-30,2015-04-07
574,600392,2014-03-10,2015-04-30
575,600400,2014-11-05,2015-06-04
576,600401,2012-05-08,2014-06-26
577,600403,2012-02-20,2012-07-24
578,600405,2013-01-30,2013-07-11
579,600416,2014-04-23,2014-12-15
580,600422,2014-12-30,2015-08-20
581,600429,2014-03-03,2014-10-23
582,600432,2013-12-03,2014-05-22
583,600433,2014-06-19,2014-12-25
584,600438,2012-06-28,2012-12-24
585,600446,2014-04-18,2015-05-04
586,600448,2013-04-09,2013-10-18
587,600458,2015-01-05,2015-11-05
588,600460,2012-06-08,2013-04-25
589,600463,2015-04-30,2015-11-05
590,600468,2014-12-30,2015-09-10
591,600477,2013-06-06,2014-01-06
592,600477,2015-03-30,2015-11-02
593,600478,2014-05-28,2015-02-16
594,600479,2014-09-09,2015-04-07
595,600480,2014-12-23,2015-10-15
596,600483,2015-04-28,2015-11-16
597,600487,2012-04-06,2014-01-06
598,600491,2014-12-25,2015-11-05
599,600495,2012-06-11,2013-06-06
600,600496,2013-12-03,2014-05-19
601,600500,2012-07-26,2013-06-24
602,600501,2013-11-28,2015-03-17
603,600502,2014-08-21,2015-05-07
604,600503,2013-11-25,2014-07-17
605,600503,2015-05-06,2015-12-31
